Customer_ID,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn
CUST-8228,male,0,Yes,Yes,53,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer,89.87,4759.34,Yes
CUST-7293,MALE,0,Yes,Yes,44,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,No,No internet service,month-to-month,Yes,Mailed check,72.58,3188.96,NO
CUST-7427,female,0,No,Yes,3,Yes,No,Fiber optic,No,Yes,No,No,No internet service,Yes,Month to month,Yes,Mailed check,86.51,264.03,YES
CUST-7069,Male,0,No,Yes,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month to month,No,Electronic check,29.15,6.14,Yes
CUST-7514,Femal,0,Yes,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ONE YEAR,No,Mailed check,33.83,2264.44,No
CUST-7697, Male,0,No,Yes,64,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Credit card,100.61,6432.42, Yes
CUST-7977, Male,0,Yes,No,10,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 year,Yes,Bank transfer,27.44,283.23, No 
CUST-7784, Female ,0,No,Yes,11,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,94.71,1048.82, Yes
CUST-8014,female,0,No,No,63,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card,81.17,5114.71,No
CUST-7221,FEMALE,0,Yes,No,10,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,Yes,Month-to-month,No,Bank transfer,84.1,843.07,no
CUST-8255,male,0,Yes,No,9,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,No,No,month-to-month,Yes,Credit card,72.98,653.69,NO
CUST-7904, Female ,0,No,Yes,30,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ONE YEAR,Yes,Electronic check,20.0,596.4,no
CUST-7600,Femal,0,Yes,Yes,3,Yes,No,DSL,No,No,No internet service,No internet service,No internet service,No internet service,month-to-month,No,Bank transfer,51.58,158.73,yes
CUST-7103,MALE,0,Yes,No,32,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,No internet service,Yes,MONTH-TO-MONTH,Yes,Mailed check,102.09,3268.83, Yes
CUST-7288,FEMALE,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,30.52,1899.06,no
CUST-8187,FEMALE,0,Yes,No,39,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,No,No,one year,Yes,Credit card,78.29,3057.31,NO
CUST-8290,MALE,0,No,Yes,23,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,98.25,2262.07,yes
CUST-7610,MALE,0,Yes,Yes,29,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,33.95,984.56, No 
CUST-7616,Male,0,No,No,23,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,Yes,Two year,Yes,Credit card,72.57,1671.63,YES
CUST-7804,Male,0,No,No,55,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,34.07,1883.65, No 
CUST-7061, Male,0,Yes,No,11,Yes,No phone service,DSL,No internet service,No,No,Yes,Yes,Yes,MONTH-TO-MONTH,No,Bank transfer,76.94,854.29,yes
CUST-8274,male,0,Yes,Yes,57,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No internet service,One year,No,Credit card,67.15,3828.82,no
CUST-7471,Female,0,,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,TWO YEAR,No,Electronic check,31.22,1593.68, No 
CUST-7004,male,0,Yes,Yes,72,Yes,No,DSL,No internet service,No,No,No,Yes,Yes,month-to-month,Yes,Bank transfer,63.32,4560.53,no
CUST-8288,FEMALE,0,No,Yes,72,Yes,Yes,Fiber optic,No,No,No internet service,Yes,Yes,No internet service,MONTH-TO-MONTH,Yes,Credit card,83.86,6031.72,yes
CUST-8398,Male,0,Yes,Yes,70,Yes,No,Fiber optic,No internet service,No,No,Yes,No,Yes,MONTH-TO-MONTH,Yes,Credit card,90.19,6306.08,no
CUST-8008,FEMALE,0,Yes,Yes,43,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month to month,No,Mailed check,30.32,1306.29,no
CUST-7718,FEMALE,1,Yes,Yes,33,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,TWO YEAR,Yes,Mailed check,33.29,1090.55, No 
CUST-7442,Male,0,Yes,No,3,Yes,No,DSL,No,Yes,No,No internet service,No,No internet service,Month-to-month,No,Bank transfer,55.84,168.46, Yes
CUST-7972, Female ,0,Yes,No,52,Yes,Yes,Fiber optic,No,No,No,No,No,No,two year,No,Mailed check,80.51,4185.49,NO
CUST-8117,,1,No,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month to month,No,,32.44,1194.05,No
CUST-7608, Male,0,No,Yes,29,Yes,No,Fiber optic,No,No,Yes,Yes,No,No internet service,One year,Yes,Bank transfer,95.83,2782.22,no
CUST-8155,MALE,0,Yes,Yes,32,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,70.64,2263.69,Yes
CUST-7831,Female,0,Yes,No,48,Yes,No phone service,DSL,No,No internet service,No internet service,No internet service,No,No internet service,Month to month,No,Credit card,58.81,2831.0,YES
CUST-7150,Femal,0,No,No,30,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,two year,Yes,Electronic check,20.0,600.52,No
CUST-7646,FEMALE,1,Yes,No,2,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No internet service,ONE YEAR,Yes,Mailed check,64.24,132.06, No 
CUST-7303,male,0,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No internet service,2 year,No,Credit card,90.77,5803.09,No
CUST-8382,Femal,0,No,No,1,No,No phone service,DSL,Yes,No,No,No internet service,No internet service,No,ONE YEAR,No,Bank transfer,52.78,48.88,NO
CUST-7400,male,0,No,Yes,59,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,Yes,No internet service,MONTH-TO-MONTH,Yes,Bank transfer,90.56,5347.96,NO
CUST-7050,Femal,0,Yes,Yes,61,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,No internet service,No,TWO YEAR,Yes,Mailed check,71.64,4362.69, No 
CUST-8259,female,0,Yes,Yes,0,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,Yes,No internet service,Two year,Yes,Electronic check,82.73,3.66,no
CUST-7099,MALE,0,Yes,No,58,Yes,No,DSL,No,Yes,Yes,No,Yes,No internet service,MONTH-TO-MONTH,No,Credit card,72.22,4187.79,YES
CUST-7070,MALE,0,No,Yes,72,Yes,No phone service,DSL,Yes,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,68.36,4928.12, No 
CUST-7083, Male,0,Yes,No,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,MONTH-TO-MONTH,No,Electronic check,20.0,,Yes
CUST-7853,Femal,0,No,No,40,Yes,No,DSL,No,No,No,Yes,No internet service,No,ONE YEAR,Yes,Electronic check,57.09,2277.04,NO
CUST-7131,male,0,No,No,4,Yes,No phone service,DSL,Yes,No,No,Yes,No internet service,Yes,MONTH-TO-MONTH,Yes,Credit card,77.56,302.88,YES
CUST-7085,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer,82.4,337.51,yes
CUST-7197, Male,0,No,Yes,39,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,One year,Yes,Electronic check,76.53,2981.91, No 
CUST-8383,Male,0,No,Yes,10,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No,Two year,No,Mailed check,76.06,759.11,NO
CUST-8109, Female ,0,No,No,28,Yes,No phone service,DSL,No,No internet service,No,No internet service,No,No internet service,Month to month,No,Credit card,56.87,1583.41,no
CUST-7198,MALE,0,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,one year,No,Credit card,29.13,1400.1,YES
CUST-7498, Male,0,No,Yes,72,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No internet service,No,two year,Yes,Bank transfer,70.66,5083.76, No 
CUST-7941,male,0,No,No,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,MONTH-TO-MONTH,No,Mailed check,20.0,38.84,YES
CUST-8333, Female ,0,Yes,Yes,12,Yes,No phone service,DSL,No internet service,No,Yes,No,Yes,Yes,Month to month,No,Credit card,73.24,887.87,No
CUST-7268,Female,1,Yes,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,26.66,1167.27,NO
CUST-7763,Female,1,No,Yes,32,Yes,No phone service,DSL,No,No internet service,No,No,No,No,month-to-month,No,Credit card,44.85,1442.32, No 
CUST-7893,MALE,0,Yes,Yes,8,Yes,No phone service,DSL,No internet service,Yes,No internet service,Yes,No internet service,No internet service,Month to month,No,Mailed check,54.87,446.58,YES
CUST-7371,MALE,0,No,Yes,66,Yes,No phone service,DSL,Yes,Yes,No,No,No internet service,No,2 year,Yes,Bank transfer,55.76,3682.86,no
CUST-7811,Female,0,No,No,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,one year,No,Bank transfer,20.0,54.23,No
CUST-7987,FEMALE,0,No,Yes,19,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,70.46,1345.39, Yes
CUST-7193,Male,0,Yes,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,29.67,1008.91,Yes
CUST-7913, Female ,0,No,No,8,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,85.26, ,Yes
CUST-7592,MALE,0,No,No,6,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,Yes,No internet service,Month to month,No,Electronic check,71.83,437.34,Yes
CUST-7343,Male,0,Yes,No,41,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,No internet service,month-to-month,Yes,Electronic check,92.2,3786.88, Yes
CUST-7439,FEMALE,0,No,Yes,5,Yes,No phone service,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,70.98,352.7,no
CUST-7355,female,0,No,Yes,44,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No internet service,No,month-to-month,No,Bank transfer,58.71,2575.57,YES
CUST-8248,Female,1,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,No internet service,ONE YEAR,Yes,Credit card,71.6,5009.41,no
CUST-8296, Male,0,Yes,No,11,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,MONTH-TO-MONTH,Yes,Bank transfer,33.63,364.42, No 
CUST-8145,Female,0,Yes,No,13,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No,No internet service,month-to-month,Yes,Electronic check,78.27,1015.21,Yes
CUST-8258,MALE,0,No,No,29,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,No,No,Month-to-month,Yes,Credit card,68.71,1992.51,No
CUST-7730, Male,0,Yes,No,9,Yes,Yes,DSL,No,No,Yes,No internet service,No internet service,No internet service,MONTH-TO-MONTH,No,Bank transfer,60.86,540.75, Yes
CUST-8182,MALE,1,No,No,36,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,month-to-month,No,Electronic check,83.79,3021.28,yes
CUST-8129,Male,0,Yes,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,MONTH-TO-MONTH,No,Bank transfer,28.16,58.07,YES
CUST-7991, Female ,0,No,Yes,0,Yes,No phone service,DSL,No internet service,No internet service,No,No,No internet service,No,month-to-month,No,Electronic check,59.42,4.53,yes
CUST-7321, Male,0,Yes,Yes,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month to month,Yes,Mailed check,20.0,784.39,
CUST-8249,Femal,0,Yes,Yes,49,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,month-to-month,No,Electronic check,29.12,1417.46,Yes
CUST-7654,Male,0,No,No,1,No,No phone service,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,MONTH-TO-MONTH,No,Electronic check,64.62,70.09,YES
CUST-7561,Female,0,Yes,No,39,Yes,No phone service,DSL,No internet service,Yes,Yes,No,No internet service,Yes,month-to-month,Yes,Credit card,60.95,2577.53,no
CUST-7755,Female,0,Yes,Yes,14,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,Yes,Yes,MONTH-TO-MONTH,No,Electronic check,93.3,,yes
CUST-7327,female,0,No,Yes,0,Yes,No phone service,Fiber optic,No,No internet service,No,No,No,Yes,ONE YEAR,No,Mailed check,84.39,0.0,YES
CUST-7157,MALE,0,No,No,69,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,month-to-month,No,Mailed check,87.46,6030.21,No
CUST-8193, Male,0,Yes,Yes,5,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No internet service,MONTH-TO-MONTH,No,Electronic check,111.97,566.98,YES
CUST-7318, Female ,0,No,Yes,4,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No,No internet service,two year,Yes,Bank transfer,64.52,263.15,Yes
CUST-8007,Male,0,Yes,No,22,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No,2 year,Yes,Mailed check,82.34,1813.17,YES
CUST-8336,Femal,0,No,Yes,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month to month,Yes,Mailed check,20.0,904.69,NO
CUST-7768, Female ,0,Yes,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,29.14,1076.6,No
CUST-7573,male,0,Yes,Yes,6,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,Yes,Yes,Month to month,Yes,Bank transfer,88.15,527.6,NO
CUST-8124, Male,0,No,Yes,53,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,No internet service,one year,No,Bank transfer,73.33,3891.97,no
CUST-7352, Male,0,No,No,59,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,Yes,Month-to-month,Yes,Electronic check,72.85,4297.98,no
CUST-7990, Male,0,Yes,No,65,Yes,No,DSL,No internet service,No,Yes,No,Yes,No,Month to month,Yes,Mailed check,55.24,3596.64,YES
CUST-7937,male,0,Yes,No,70,Yes,Yes,DSL,No,No internet service,No,Yes,No internet service,No internet service,One year,No,Mailed check,66.57,4664.5,no
CUST-7976, Female ,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month to month,No,,88.01,5104.51,Yes
CUST-7615,Female,0,Yes,Yes,66,Yes,No phone service,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,One year,No,Bank transfer,56.89,3748.64,No
CUST-7984,female,No,No,No,61,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,No,MONTH-TO-MONTH,No,Mailed check,78.33,4778.87,YES
CUST-7362,Femal,0,Yes,Yes,17,Yes,Yes,DSL,No,No,No internet service,Yes,No internet service,No,month-to-month,No,Mailed check,50.04,857.23,YES
CUST-8246,female,0,Yes,No,59,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,ONE YEAR,No,Credit card,43.96,2594.58, No 
CUST-7247,MALE,0,No,No,65,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No internet service,No,Month to month,No,Bank transfer,73.48,4780.5,No
CUST-7821, Female ,0,Yes,No,11,Yes,No phone service,DSL,No,No internet service,No,No,No internet service,Yes,MONTH-TO-MONTH,Yes,Mailed check,53.17,576.6,No
CUST-7840, Male,0,Yes,Yes,23,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,month-to-month,Yes,Bank transfer,30.93,717.9,no
CUST-8316,MALE,1,Yes,No,17,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No,Yes,Month to month,Yes,Electronic check,90.04,1533.03,no
CUST-7581,Male,0,No,Yes,42,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No,One year,Yes,Electronic check,70.33,2961.14, No 
CUST-7799,Female,0,No,Yes,24,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,No,No internet service,Month to month,No,Mailed check,87.68,2109.95,no
CUST-7948,FEMALE,0,No,No,58,Yes,No,DSL,No internet service,No,No,Yes,No,No internet service,month-to-month,Yes,Bank transfer,57.27,3323.28,No
CUST-7411,Female,1,Yes,Yes,8,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No internet service,two year,No,Electronic check,83.51,662.02,YES
CUST-7266, Male,0,Yes,Yes,46,No,No phone service,DSL,Yes,Yes,Yes,No internet service,No,No internet service,One year,Yes,Electronic check,59.09,2709.37,NO
CUST-7414,FEMALE,1,Yes,Yes,59,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,79.85,4711.79,no
CUST-7978,Female,0,No,No,43,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,No,month-to-month,No,Credit card,70.83,3043.55,no
CUST-7577,male,0,No,Yes,50,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,No,Yes,MONTH-TO-MONTH,No,Mailed check,95.56,4786.02,no
CUST-7585,MALE,1,Yes,Yes,60,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No,No internet service,Month to month,No,Mailed check,71.68,4298.31,NO
CUST-7194,Femal,0,No,No,7,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,No,ONE YEAR,Yes,,94.74,658.77,yes
CUST-8168,male,0,No,Yes,34,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,TWO YEAR,No,Bank transfer,91.08,3105.04,Yes
CUST-8166,FEMALE,0,No,Yes,41,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,one year,Yes,Mailed check,83.39,3411.12,no
CUST-7232,male,0,Yes,Yes,26,Yes,No,DSL,No internet service,No,No internet service,Yes,No,No internet service,MONTH-TO-MONTH,Yes,Bank transfer,60.25,1559.81, No 
CUST-7807, Female ,0,Yes,Yes,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 year,No,Electronic check,32.11,550.78,no
CUST-7574,Male,0,Yes,No,32,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,No,month-to-month,Yes,Electronic check,81.28,2604.41,no
CUST-7204,MALE,1,Yes,Yes,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month to month,No,Electronic check,29.12,867.18, Yes
CUST-7121,female,0,No,Yes,42,No,No phone service,Fiber optic,No,Yes,Yes,No internet service,No internet service,Yes,MONTH-TO-MONTH,Yes,Bank transfer,85.54,3597.05,Yes
CUST-8158, Male,0,Yes,No,37,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No,No internet service,month-to-month,Yes,Mailed check,81.66,3016.16, Yes
CUST-7669,Male,0,Yes,Yes,59,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,ONE YEAR,No,Bank transfer,76.54,4510.4,no
CUST-7264,MALE,0,No,No,57,Yes,No,Fiber optic,No,Yes,No,No,No internet service,No,MONTH-TO-MONTH,No,Mailed check,84.85,4828.28,NO
CUST-8292, Male,0,No,Yes,7,Yes,No,Fiber optic,Yes,No internet service,No,Yes,Yes,Yes,MONTH-TO-MONTH,No,Electronic check,105.44,733.49,YES
CUST-7687,Male,0,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,34.89,1648.32,no
CUST-7065,male,0,No,No,1,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No internet service,No,MONTH-TO-MONTH,Yes,Bank transfer,79.17,80.44, Yes
CUST-8300,FEMALE,0,No,Yes,-55,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,No internet service,one year,No,Bank transfer,75.02,4127.74,Yes
CUST-7766,Female,0,Yes,No,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,MONTH-TO-MONTH,No,Credit card,$20.0,891.24,no
CUST-7746, Male,0,No,Yes,48,Yes,No phone service,DSL,No,No,No,No internet service,No internet service,No internet service,One year,No,Bank transfer,55.65,2677.35,No
CUST-7706,Femal,0,No,Yes,51,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No internet service,No,two year,Yes,Mailed check,83.97,4290.94,No
CUST-7107,Female,0,Yes,No,33,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No,Yes,Two year,No,Bank transfer,95.88,3170.86,NO
CUST-8053,female,0,Yes,No,60,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,MONTH-TO-MONTH,No,Mailed check,33.27,2003.61,No
CUST-7290,FEMALE,0,No,No,3,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,100.93,299.88, Yes
CUST-7373,Male,0,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No internet service,Yes,one year,Yes,Credit card,101.63,906.08,NO
CUST-7221,FEMALE,0,Yes,No,10,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,Yes,Month-to-month,No,Bank transfer,84.1,843.07,no
CUST-7586,MALE,0,No,Yes,7,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No internet service,Yes,month-to-month,No,Electronic check,79.23,555.29,yes
CUST-7339,female,0,No,Yes,20,No,No phone service,DSL,No,No internet service,No internet service,No internet service,No internet service,No,one year,Yes,Credit card,38.11,766.29,no
CUST-7389,FEMALE,0,Yes,No,2,No,No phone service,Fiber optic,Yes,No,No internet service,No,Yes,Yes,month-to-month,Yes,Mailed check,72.03,148.14,YES
CUST-7552,Male,0,No,Yes,40,No,No phone service,DSL,No internet service,No internet service,No internet service,No,No,No internet service,Two year,Yes,Credit card,46.06,1851.26,No
CUST-7170,female,0,Yes,No,0,Yes,No phone service,DSL,No internet service,Yes,Yes,No,No internet service,No internet service,MONTH-TO-MONTH,Yes,Credit card,71.93,0.0,No
CUST-7456,Female,0,No,Yes,71,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No internet service,month-to-month,No,Bank transfer,97.29,6908.56, Yes
CUST-7570,Male,1,Yes,No,60,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Credit card,97.08,5829.3,No
CUST-7898,male,0,No,Yes,54,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,No,No internet service,TWO YEAR,No,Bank transfer,87.12,4712.42,no
CUST-8392,Female,0,No,No,49,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,Yes,Yes,One year,No,Mailed check,93.2,4560.52,NO
CUST-7902,Male,1,No,No,44,Yes,No phone service,DSL,No,No,Yes,Yes,No internet service,No internet service,month-to-month,Yes,Credit card,60.01,2648.86,YES
CUST-7464,MALE,1,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month to month,Yes,Mailed check,33.93,232.14, No 
