Customer_ID,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn,Data_Quality_Flag
CUST-7068,Female,Yes,No,Yes,34,Yes,Yes,"Fiber optic",Yes,"No internet service",No,No,No,Yes,Month-to-month,No,"Mailed check",77.49,2628.68,No,Clean
CUST-7069,Male,No,No,Yes,0,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Electronic check",29.15,6.14,Yes,Clean
CUST-7070,Male,No,No,Yes,72,Yes,"No phone service",DSL,Yes,Yes,"No internet service",Yes,"No internet service",Yes,Month-to-month,No,"Electronic check",68.36,4928.12,No,Clean
CUST-7071,Female,No,Yes,No,21,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",Yes,"Mailed check",28.24,597.53,No,Clean
CUST-7072,Female,No,No,Yes,64,Yes,Yes,DSL,Yes,"No internet service",Yes,Yes,Yes,"No internet service",Month-to-month,Yes,"Mailed check",63.65,4064.64,Yes,Clean
CUST-7073,Male,No,Yes,No,24,No,"No phone service",DSL,No,"No internet service",Yes,No,Yes,"No internet service",Month-to-month,Yes,"Bank transfer",52.58,1265.17,No,Clean
CUST-7074,Male,Yes,No,Yes,3,Yes,"No phone service","Fiber optic","No internet service",No,No,No,"No internet service",Yes,Month-to-month,Yes,"Credit card",80.84,251.15,Yes,Clean
CUST-7075,Female,No,No,Yes,50,No,"No phone service","Fiber optic",Yes,No,Yes,Yes,Yes,"No internet service","One year",Yes,"Electronic check",90.43,4516.51,No,Clean
CUST-7076,Male,Yes,Yes,No,11,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,"One year",Yes,"Mailed check",74.05,808.94,No,Clean
CUST-7077,Male,No,Unknown,No,2,No,"No phone service",DSL,"No internet service",No,"No internet service",Yes,"No internet service","No internet service","Two year",Yes,"Bank transfer",52.72,114.36,No,Clean
CUST-7078,Male,No,Yes,No,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Mailed check",25.08,25.08,Yes,Clean
CUST-7079,Female,No,Yes,No,23,Yes,No,DSL,Yes,"No internet service",Yes,Yes,No,"No internet service","One year",No,"Electronic check",71.09,1634.17,No,Clean
CUST-7080,Male,No,No,Yes,18,Yes,"No phone service","Fiber optic",No,No,"No internet service","No internet service",Yes,"No internet service","One year",No,"Bank transfer",75.86,1363.89,No,Clean
CUST-7081,Male,Yes,Yes,No,0,Yes,"No phone service","Fiber optic",No,Yes,"No internet service","No internet service",Yes,No,Month-to-month,No,"Bank transfer",83.53,0.00,Yes,Clean
CUST-7082,Male,Yes,Yes,No,43,Yes,Yes,"Fiber optic","No internet service",Yes,No,No,Yes,"No internet service",Month-to-month,Yes,"Mailed check",100.59,4328.64,No,Clean
CUST-7083,Male,No,Yes,No,61,No,"No phone service",No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Electronic check",20.00,1220.00,Yes,Clean
CUST-7084,Male,No,Yes,No,12,Yes,Yes,"Fiber optic",No,Yes,Yes,"No internet service",No,Yes,"One year",Yes,"Electronic check",94.64,1138.04,No,Clean
CUST-7085,Female,No,Yes,No,4,Yes,Yes,"Fiber optic",No,No,"No internet service","No internet service",Yes,No,Month-to-month,Yes,"Bank transfer",82.40,337.51,Yes,Clean
CUST-7086,Male,No,No,No,8,Yes,No,"Fiber optic","No internet service",No,No,No,Yes,Yes,Month-to-month,Yes,"Credit card",82.56,657.92,Yes,Clean
CUST-7087,Male,No,No,No,38,Yes,"No phone service","Fiber optic",Yes,No,"No internet service","No internet service",No,No,Month-to-month,No,"Mailed check",81.88,3102.50,Yes,Clean
CUST-7088,Female,No,No,No,2,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,"Two year",No,"Electronic check",71.99,140.78,No,Clean
CUST-7089,Male,No,Yes,Yes,54,Yes,Yes,"Fiber optic",No,"No internet service",No,Yes,No,No,"Two year",Yes,"Bank transfer",82.37,4440.35,No,Clean
CUST-7090,Male,No,Yes,Yes,4,Yes,No,DSL,No,No,Yes,"No internet service","No internet service",No,Month-to-month,No,"Electronic check",63.66,251.12,Yes,Clean
CUST-7091,Female,No,No,No,36,Yes,No,"Fiber optic",Yes,No,"No internet service",No,No,Yes,"One year",No,"Bank transfer",87.96,3173.06,No,Clean
CUST-7092,Female,No,Yes,No,65,Yes,No,DSL,Yes,"No internet service",Yes,"No internet service",No,"No internet service","Two year",No,"Mailed check",63.11,4107.44,No,Clean
CUST-7093,Male,No,Yes,No,3,Yes,"No phone service",DSL,No,"No internet service",No,No,Yes,"No internet service","Two year",Yes,"Mailed check",54.54,166.98,Yes,Clean
CUST-7094,Female,No,Yes,No,55,No,"No phone service",DSL,No,Yes,"No internet service",Yes,"No internet service",Yes,Month-to-month,No,"Bank transfer",55.25,3033.42,No,Clean
CUST-7095,Female,Yes,No,No,63,Yes,"No phone service",DSL,"No internet service","No internet service",Yes,No,Yes,Yes,"Two year",Yes,"Bank transfer",66.34,4170.01,No,Clean
CUST-7096,Female,No,Yes,No,39,No,"No phone service",No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",20.00,771.57,No,Clean
CUST-7097,Male,No,Yes,No,67,No,"No phone service",No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Credit card",20.00,1345.91,No,Clean
CUST-7098,Male,No,Yes,Yes,3,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Mailed check",31.88,96.04,No,Clean
CUST-7099,Male,No,Yes,No,58,Yes,No,DSL,No,Yes,Yes,No,Yes,"No internet service",Month-to-month,No,"Credit card",72.22,4187.79,Yes,Clean
CUST-7100,Male,No,No,No,36,Yes,No,DSL,No,"No internet service",No,"No internet service","No internet service",Yes,"One year",Yes,"Electronic check",60.52,2178.72,No,Clean
CUST-7101,Female,No,Yes,No,72,Yes,"No phone service","Fiber optic",No,Yes,No,No,"No internet service","No internet service","Two year",No,"Electronic check",69.14,4976.58,Yes,Clean
CUST-7102,Male,Yes,Yes,No,16,No,"No phone service",DSL,"No internet service",No,Yes,Yes,Yes,Yes,"One year",No,"Bank transfer",59.60,947.30,No,Clean
CUST-7103,Male,No,Yes,No,32,Yes,"No phone service","Fiber optic","No internet service",No,Yes,Yes,"No internet service",Yes,Month-to-month,Yes,"Mailed check",102.09,3268.83,Yes,Clean
CUST-7104,Female,No,No,Yes,25,Yes,"No phone service",DSL,Yes,Yes,Yes,No,"No internet service",Yes,"Two year",Yes,"Credit card",75.56,1885.09,Yes,Clean
CUST-7105,Female,No,No,Yes,17,Yes,"No phone service","Fiber optic",No,"No internet service","No internet service",No,No,No,"Two year",Yes,"Mailed check",74.98,1283.05,No,Clean
CUST-7106,Male,No,No,No,42,Yes,Yes,DSL,"No internet service",Yes,No,"No internet service","No internet service","No internet service",Month-to-month,No,"Credit card",55.94,2348.73,Yes,Clean
CUST-7107,Female,No,Yes,No,33,Yes,No,"Fiber optic",Yes,"No internet service",No,Yes,No,Yes,"Two year",No,"Bank transfer",95.88,3170.86,No,Clean
CUST-7108,Male,No,No,No,71,No,"No phone service","Fiber optic","No internet service","No internet service",No,No,Yes,Yes,"Two year",Yes,"Electronic check",82.06,5823.12,No,Clean
CUST-7109,Male,No,No,No,14,Yes,"No phone service","Fiber optic",No,"No internet service","No internet service","No internet service",Yes,"No internet service","One year",No,"Credit card",90.59,1269.64,No,Clean
CUST-7110,Male,No,Yes,Yes,63,Yes,Yes,DSL,"No internet service",Yes,"No internet service",Yes,"No internet service",No,Month-to-month,Yes,"Electronic check",68.94,4351.76,No,Clean
CUST-7111,Female,No,No,Yes,11,Yes,No,DSL,Yes,"No internet service","No internet service",Yes,No,"No internet service",Month-to-month,Yes,"Bank transfer",53.51,585.72,No,Clean
CUST-7112,Male,Yes,No,Yes,3,Yes,"No phone service","Fiber optic","No internet service","No internet service","No internet service","No internet service",No,"No internet service",Month-to-month,Yes,"Mailed check",73.51,222.83,Yes,Clean
CUST-7113,Female,No,Yes,Yes,26,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Electronic check",25.02,649.82,No,Clean
CUST-7114,Female,No,Yes,No,57,Yes,"No phone service","Fiber optic",Yes,"No internet service","No internet service",Yes,Yes,Yes,"One year",Yes,"Credit card",89.27,5088.12,No,Clean
CUST-7115,Male,No,Yes,No,50,Yes,Yes,DSL,Yes,"No internet service",No,No,Yes,No,"One year",No,"Credit card",60.55,3032.96,No,Clean
CUST-7116,Female,No,No,Yes,50,Yes,"No phone service","Fiber optic","No internet service","No internet service","No internet service",No,No,Yes,"One year",Yes,"Bank transfer",82.38,4115.89,No,Clean
CUST-7117,Female,Yes,No,Yes,51,Yes,No,"Fiber optic",Yes,"No internet service",No,Yes,"No internet service","No internet service","One year",No,"Credit card",83.61,4273.85,Yes,Clean
CUST-7118,Male,No,No,No,15,No,"No phone service","Fiber optic",No,"No internet service",No,No,No,"No internet service",Month-to-month,No,"Credit card",65.60,993.82,No,Clean
CUST-7119,Female,No,Yes,Yes,13,Yes,"No phone service","Fiber optic",Yes,No,"No internet service",No,Yes,No,"One year",Yes,"Bank transfer",85.08,1106.04,No,Clean
CUST-7120,Male,No,Unknown,Unknown,50,Yes,No,DSL,"No internet service",Yes,"No internet service",No,No,Yes,"One year",No,"Bank transfer",74.95,3738.05,No,Clean
CUST-7121,Female,No,No,Yes,42,No,"No phone service","Fiber optic",No,Yes,Yes,"No internet service","No internet service",Yes,Month-to-month,Yes,"Bank transfer",85.54,3597.05,Yes,Clean
CUST-7122,Male,No,No,No,38,Yes,Yes,"Fiber optic",No,Yes,"No internet service","No internet service",Yes,"No internet service",Month-to-month,No,"Electronic check",82.83,3144.74,Yes,Clean
CUST-7123,Female,No,No,No,23,Yes,Yes,DSL,Yes,No,"No internet service","No internet service",Yes,No,Month-to-month,Yes,"Credit card",65.42,1506.17,No,Clean
CUST-7124,Female,No,No,Yes,42,Yes,No,DSL,Yes,No,"No internet service","No internet service",No,"No internet service",Month-to-month,Yes,"Credit card",55.69,2342.07,No,Clean
CUST-7125,Male,No,No,No,31,Yes,No,"Fiber optic",Yes,"No internet service",Yes,Yes,Yes,No,"One year",No,"Credit card",97.19,3007.74,No,Clean
CUST-7126,Female,Yes,Yes,Yes,8,Yes,Yes,"Fiber optic",Yes,No,No,Yes,"No internet service","No internet service",Month-to-month,No,Unknown,93.61,739.56,No,Clean
CUST-7127,Male,No,No,No,56,No,"No phone service","Fiber optic",No,"No internet service",Yes,"No internet service",Yes,"No internet service",Month-to-month,No,"Bank transfer",74.07,4151.02,Yes,Clean
CUST-7128,Female,No,Yes,No,6,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Bank transfer",29.93,170.76,No,Clean
CUST-7129,Male,No,Yes,No,71,Yes,No,"Fiber optic","No internet service","No internet service","No internet service",Yes,Yes,"No internet service",Month-to-month,No,"Mailed check",83.63,5930.33,Yes,Clean
CUST-7130,Female,No,Yes,No,49,Yes,Yes,DSL,Yes,"No internet service",Yes,Yes,Yes,"No internet service",Month-to-month,Yes,"Mailed check",77.48,3790.34,Yes,Clean
CUST-7131,Male,No,No,No,4,Yes,"No phone service",DSL,Yes,No,No,Yes,"No internet service",Yes,Month-to-month,Yes,"Credit card",77.56,302.88,Yes,Clean
CUST-7132,Male,No,No,No,9,No,"No phone service",DSL,"No internet service","No internet service",Yes,"No internet service",No,No,"One year",Yes,"Credit card",52.80,477.31,No,Clean
CUST-7133,Male,No,Yes,No,22,Yes,Yes,"Fiber optic","No internet service",Yes,No,"No internet service","No internet service",No,Month-to-month,Yes,"Bank transfer",85.46,1875.37,Yes,Clean
CUST-7134,Female,No,No,Yes,3,Yes,"No phone service",DSL,No,No,"No internet service","No internet service",Yes,Yes,Month-to-month,No,"Mailed check",72.19,212.92,Yes,Clean
CUST-7135,Female,No,Yes,Yes,3,Yes,"No phone service",DSL,No,Yes,"No internet service","No internet service",Yes,"No internet service","One year",Yes,"Bank transfer",54.25,166.43,No,Clean
CUST-7136,Male,No,Yes,No,9,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Electronic check",31.03,285.75,Yes,Clean
CUST-7137,Female,Yes,Yes,Yes,45,No,"No phone service",DSL,No,"No internet service",No,No,Yes,Yes,Month-to-month,No,"Mailed check",49.61,2234.59,No,Clean
CUST-7138,Unknown,No,No,No,21,No,"No phone service","Fiber optic",No,"No internet service",No,No,Yes,Yes,Month-to-month,Yes,"Mailed check",73.22,1532.23,Yes,Clean
CUST-7139,Female,No,Yes,Yes,0,Yes,Yes,DSL,Yes,Yes,"No internet service","No internet service",Yes,"No internet service","One year",No,"Credit card",66.73,0.00,Yes,Clean
CUST-7140,Female,No,Yes,Yes,65,Yes,No,DSL,No,Yes,"No internet service",Yes,No,Yes,"Two year",No,"Electronic check",75.59,4906.15,No,Clean
CUST-7141,Male,No,No,Yes,38,Yes,Yes,DSL,No,"No internet service","No internet service",Yes,No,Yes,Month-to-month,Yes,"Mailed check",60.52,2293.73,Yes,Clean
CUST-7142,Male,No,No,No,9,No,"No phone service",No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Bank transfer",20.00,179.31,No,Clean
CUST-7143,Male,No,Yes,No,20,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Mailed check",34.80,696.62,No,Clean
CUST-7144,Female,No,Yes,No,47,No,"No phone service",No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card",20.00,930.60,No,Clean
CUST-7145,Female,No,No,Yes,2,Yes,"No phone service",DSL,No,No,"No internet service",No,No,No,Month-to-month,No,"Bank transfer",45.20,92.84,No,Clean
CUST-7146,Male,No,Yes,Yes,35,Yes,Yes,DSL,"No internet service",Yes,No,No,"No internet service",No,"Two year",No,"Electronic check",61.22,2135.86,No,Clean
CUST-7147,Female,No,Yes,Yes,69,Yes,Yes,"Fiber optic",No,Yes,"No internet service","No internet service",No,"No internet service","One year",Yes,"Bank transfer",81.82,5637.44,No,Clean
CUST-7148,Female,No,Yes,No,15,Yes,No,"Fiber optic",No,Yes,"No internet service",No,Yes,"No internet service",Month-to-month,No,"Electronic check",93.75,1405.77,No,Clean
CUST-7149,Unknown,Yes,Yes,Yes,18,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Electronic check",27.41,496.35,No,Clean
CUST-7150,Female,No,No,No,30,No,"No phone service",No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Electronic check",20.00,600.52,No,Clean
CUST-7151,Male,No,Yes,No,0,Yes,No,DSL,Yes,Yes,"No internet service","No internet service","No internet service",No,Month-to-month,Yes,"Bank transfer",58.65,5.82,Yes,Clean
CUST-7152,Female,No,Yes,No,1,Yes,Yes,"Fiber optic",No,Yes,No,"No internet service",No,"No internet service","Two year",No,"Mailed check",86.13,94.21,Yes,Clean
CUST-7153,Male,Yes,Yes,Yes,12,No,"No phone service",No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Electronic check",20.00,238.24,Yes,Clean
